Model,Leak_Size,Accuracy
RandomForest,0.001,0.010869565217391304
XGBoost,0.001,0.010869565217391304
LightGBM,0.001,0.010869565217391304
MLP,0.001,0.010869565217391304
LSTM,0.001,0.010876560689921483
CNN,0.001,0.010876560689921483
RandomForest,0.005,0.010869565217391304
XGBoost,0.005,0.010869565217391304
LightGBM,0.005,0.010869565217391304
MLP,0.005,0.010933882171340366
LSTM,0.005,0.010876560689921483
CNN,0.005,0.010876560689921483
RandomForest,0.01,0.010869565217391304
XGBoost,0.01,0.010869565217391304
LightGBM,0.01,0.010869565217391304
MLP,0.01,0.011319783895034732
LSTM,0.01,0.010876560689921483
CNN,0.01,0.010876560689921483
