Model,SNR,Accuracy
RandomForest,inf,0.7534890344631159
XGBoost,inf,0.7732839646824267
LightGBM,inf,0.029478780974081457
MLP,inf,0.5212190259185417
LSTM,inf,0.009269823160296634
CNN,inf,0.010553337136337706
Transformer,inf,0.009840273816314889
RandomForest,30.0,0.4023070350327542
XGBoost,30.0,0.46995158074622617
LightGBM,30.0,0.025918541726003986
MLP,30.0,0.4525776132156081
LSTM,30.0,0.00869937250427838
CNN,30.0,0.010553337136337706
Transformer,30.0,0.009697661152310326
RandomForest,20.0,0.25135289091426943
XGBoost,20.0,0.29749359156935345
LightGBM,20.0,0.022643121617772714
MLP,20.0,0.29535744802050695
LSTM,20.0,0.008841985168282943
CNN,20.0,0.010838562464346835
Transformer,20.0,0.009697661152310326
RandomForest,10.0,0.13229849045855882
XGBoost,10.0,0.13642836798632868
LightGBM,10.0,0.01979493021931074
MLP,10.0,0.1461122187410994
LSTM,10.0,0.009269823160296634
CNN,10.0,0.01069594980034227
Transformer,10.0,0.009982886480319452
RandomForest,0.0,0.06237539162631729
XGBoost,0.0,0.04258046140700655
LightGBM,0.0,0.018086015380233553
MLP,0.0,0.05368840786100826
LSTM,0.0,0.011409013120365089
CNN,0.0,0.01069594980034227
Transformer,0.0,0.009269823160296634
