Model,Coverage,Accuracy
RandomForest,100,0.7534890344631159
XGBoost,100,0.7732839646824267
LightGBM,100,0.029478780974081457
MLP,100,0.5212190259185417
LSTM,100,0.009269823160296634
CNN,100,0.010553337136337706
Transformer,100,0.009840273816314889
RandomForest,80,0.5962688692680148
XGBoost,80,0.3769581315864426
LightGBM,80,0.022643121617772714
MLP,80,0.12987752776986614
LSTM,80,0.010410724472333143
CNN,80,0.010553337136337706
Transformer,80,0.009840273816314889
RandomForest,60,0.3293933352321276
XGBoost,60,0.19310737681572201
LightGBM,60,0.019937339789233836
MLP,60,0.08886357163201367
LSTM,60,0.009697661152310326
CNN,60,0.010553337136337706
Transformer,60,0.010410724472333143
RandomForest,40,0.109512959270863
XGBoost,40,0.0968385075477072
LightGBM,40,0.013956137852463685
MLP,40,0.028766733124465965
LSTM,40,0.011979463776383342
CNN,40,0.01069594980034227
Transformer,40,0.01026811180832858
RandomForest,20,0.039732270008544575
XGBoost,20,0.04172600398746796
LightGBM,20,0.011535175163771005
MLP,20,0.03047564796354315
LSTM,20,0.011266400456360525
CNN,20,0.010553337136337706
Transformer,20,0.01069594980034227
